country,ISO alpha-3 code,UN_region,UN_subregion,year,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,Percapita GDP (2010 USD),population
Barbados,BRB,Latin America and the Caribbean,Caribbean,2014,EFConsPerCap,0.553213068,0.288556148,0.150359571,0.27018223,0.034084518,2.256499318,3.552894853,15864.6,283000
Belarus,BLR,Europe,Eastern Europe,2014,EFConsPerCap,1.170547809,0.141865813,0.856247425,0.094720912,0.080584021,2.348759357,4.692725336,6664.1,9500000
Belgium,BEL,Europe,Western Europe,2014,EFConsPerCap,1.237543633,0.417202322,0.710225598,0.118249224,0.190681115,4.031706324,6.705608216,44702.3,11226000
Belize,BLZ,Latin America and the Caribbean,Central America,2014,EFConsPerCap,0.412204525,0.209108259,0.349440139,2.139276661,0.000562586,2.083248877,5.193841047,4415.99,352000
Benin,BEN,Africa,Western Africa,2014,EFConsPerCap,0.597803238,0.036474016,0.243562481,0.077677267,0.044122975,0.356046809,1.355686787,833.662,10598000
Bermuda,BMU,North America,North America,2014,EFConsPerCap,0,0,0,0,0,0,6.778905763,0,62000
Bhutan,BTN,Asia,Southern Asia,2014,EFConsPerCap,0.435252879,0.370964059,2.69203679,0.031400104,0.25875461,0.846702552,4.635110994,2500.26,765000
Bolivia,BOL,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.400095826,1.676006191,0.178626942,0.009552047,0.064734735,0.74545503,3.07447077,2317.26,10562000
Bosnia and Herzegovina,BIH,Europe,Southern Europe,2014,EFConsPerCap,0.617889857,0.318028269,0.509831891,0.020668099,0.014372216,1.80948262,3.290272952,4992.91,3818000
Botswana,BWA,Africa,Southern Africa,2014,EFConsPerCap,0.308675817,0.17156262,0.203763042,0.015242275,0.014983594,1.822608916,2.536836265,7574.28,2220000
Brazil,BRA,Latin America and the Caribbean,South America,2014,EFConsPerCap,0.706014878,0.79811565,0.504265875,0.0466384,0.093618999,0.929040734,3.077694535,11866.4,206078000
Brunei Darussalam,BRN,Asia,South-Eastern Asia,2014,EFConsPerCap,0.430962833,0.292903744,0.239123139,0.200700969,0.023872434,4.357838487,5.545401604,33313.8,417000
Bulgaria,BGR,Europe,Eastern Europe,2014,EFConsPerCap,0.607608583,0.133261654,0.288581611,0.030747683,0.160412924,1.948920798,3.169533252,7299.55,7201000
Burkina Faso,BFA,Africa,Western Africa,2014,EFConsPerCap,0.578830029,0.161378041,0.344887146,0.028422653,0.075152199,0.122953376,1.311623444,639.71,17589000
Burundi,BDI,Africa,Eastern Africa,2014,EFConsPerCap,0.220514959,0.061407892,0.254927308,0.003382923,0.034468994,0.030091943,0.604794019,243.102,10817000
Côte d'Ivoire,CIV,Africa,Western Africa,2014,EFConsPerCap,0.544611329,0.039308393,0.237018932,0.123453234,0.088188407,0.271163301,1.303743596,1384.91,22157000
Cabo Verde,CPV,Africa,Western Africa,2014,EFConsPerCap,0,0,0,0,0,0,1.632268238,3369.64,514000
